1,2,3,4,5,6,7,8,9,10,11,12
Neodymium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R3N6E1]PN[R0N7E0]N[R0N7E0]PN[R3N6E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,60   Nd-144,Nd-144,60,2,5,0,342.05,0
Promethium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R4N6E1]PN[R0N7E0]N[R0N7E0]PN[R3N6E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,61   Pm-145,Pm-145,61,2,5,0,342.05,0
Samarium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R4N8E1]PN[R0N7E0]N[R0N7E0]PN[R4N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,62   Sm-150,Sm-150,62,2,5,0,342.05,0
Europium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R4N8E1]PN[R0N7E0]N[R0N0E0]PN[R0N0E0]N[R0N7E0]PN[R4N7E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,63   Eu-152,Eu-152,63,2,5,0,342.05,0
Gadolinium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R5N8E1]PN[R0N7E0]N[R0N2E0]PN[R0N2E0]N[R0N7E0]PN[R4N7E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,64   Gd-157,Gd-157,64,2,5,0,342.05,0
Terbium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R5N8E1]PN[R0N7E0]N[R0N2E0]PN[R0N2E0]N[R0N7E0]PN[R5N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,65   Tb-159,Tb-159,65,2,5,0,342.05,0
Dysprosium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R6N8E1]PN[R0N7E0]N[R0N3E0]PN[R0N3E0]N[R0N7E0]PN[R5N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,66   Dy-163,Dy-163,66,2,5,0,342.05,0
Holmium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R6N8E1]PN[R0N7E0]N[R0N4E0]PN[R0N4E0]N[R0N7E0]PN[R6N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,67   Ho-165,Ho-165,67,2,5,0,342.05,0
Erbium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R7N8E1]PN[R0N7E0]N[R0N4E0]PN[R0N5E0]N[R0N7E0]PN[R6N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,68   Er-167,Er-167,68,2,5,0,342.05,0
Thulium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R7N8E1]PN[R0N7E0]N[R0N5E0]PN[R0N5E0]N[R0N7E0]PN[R7N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,69   Tm-169,Tm-169,69,2,5,0,342.05,0
Ytterbium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R8N8E1]PN[R0N7E0]N[R0N7E0]PN[R0N6E0]N[R0N7E0]PN[R7N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,70   Yb-173,Yb-173,70,2,5,0,342.05,0
Lutetium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R8N8E1]PN[R0N7E0]N[R0N7E0]PN[R0N7E0]N[R0N7E0]PN[R8N8E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,45,,71   Lu-175,Lu-175,71,2,5,0,342.05,0
